pawndiff knightdiff bishopdiff rookdiff queendiff result white black whiteelo blackelo
1 0 0 0 0 1-0 Rey_Jebo peterni 1473 1434
1 0 0 1 0 1-0 zorrofranc peterni 1487 1439
0 0 1 -1 -1 0-1 karik2984 peterni 1487 1348
1 0 1 0 0 1-0 eboricum58 peterni 1499 1444
-3 1 -1 1 0 0-1 Dragansan peterni 1359 1439
1 0 0 0 1 1-0 peterni wolf2009 1432 1498
0 0 0 0 0 0-1 peterni Solpolito 1355 1269
0 0 0 0 0 0-1 henryhug peterni 1444 1348
1 -1 0 1 1 1-0 peterni henryhug 1340 1452
1 -1 0 0 0 0-1 I4eye peterni 1439 1426
0 0 -1 0 -1 0-1 zernst6 peterni 1415 1420
-1 1 0 1 0 1-0 uqurasutay peterni 1183 1348
2 0 0 0 0 1-0 peterni Big-P 1346 1101
1 0 -1 1 1 1-0 semmiramis peterni 1188 1354
-1 0 -1 0 0 0-1 peterni behnia1 1360 1323
0 0 1 1 1 1-0 peterni dsynoGat 1356 1256
0 0 0 0 0 1-0 R001001 peterni 1413 1361
1 0 0 0 0 1/2-1/2 peterni EAW 1364 1200
-1 0 0 0 0 0-1 ZanPRO peterni 1272 1359
0 -1 1 0 0 0-1 peterni bijelikonj1 1364 1406
1 1 0 0 0 1-0 inkcjr peterni 1367 1371
1 0 0 0 0 0-1 peterni jfo 1378 1359
-1 -1 0 0 0 0-1 peterni nurhaq 1383 1428
-2 0 0 0 0 1-0 Buisseret peterni 1432 1425
0 0 0 0 0 0-1 peterni Seyidd 1429 1567
-1 0 0 0 0 0-1 PawnPusher2020 peterni 1199 1426
3 -2 2 0 0 1-0 HasnElbakor peterni 1418 1432
0 0 1 0 0 0-1 peterni mal56 1437 1432
-1 0 0 0 -1 0-1 farfromgood peterni 1439 1375
-1 0 2 0 0 0-1 peterni Mahlzeit 1443 1426
-2 1 0 1 -1 0-1 yagosc peterni 1397 1438
-1 0 0 0 0 0-1 monk82 peterni 1442 1432
-2 1 -1 -1 1 1-0 leonardautress peterni 1462 1437
2 0 -1 0 0 1-0 mohitasya peterni 1500 1375
-1 0 -1 0 0 0-1 muq peterni 1392 1242
3 0 0 0 0 1-0 peterni muq 1207 1401
